# Sarki | Sanatci | 1. satir | 2. satir  -- son iki bolumu doldur

# ---- 90'LAR ----
Şımarık | Tarkan |  | 
Aşk Nereden Nereye | Gripin |  | 
Belki Üstümüzden Bir Kuş Geçer | Yüksek Sadakat |  | 
Dur Yağmur | Pinhani |  | 
For Real | Athena |  | 
Olmaz Oğlan | Hepsi |  | 
Tempo | Hepsi |  | 
Elbette | Candan Erçetin |  | 
Neden | Candan Erçetin |  | 
Annem | Candan Erçetin |  | 
Bu mudur | Nil Karaibrahimgil |  | 
Pırlanta | Nil Karaibrahimgil |  | 
Hakkında Her Şeyi Duymak İstiyorum | Nil Karaibrahimgil |  | 
Alıştım | Ebru Gündeş |  | 
Yak Gel | Funda Arar |  | 
Divane | Yaşar |  | 
Bize de Bu Yakışır | Yaşar |  | 
Vazgeçtim | Gökhan Özen |  | 
İki Melek | Bengü |  | 
Masal | Aydilge |  | 
Direniyorum | Rafet El Roman |  | 
Ölürüm | Halil Sezai |  | 

# ---- 2010'LAR ----
Öp | Tarkan |  | 
Adımı Kalbine Yaz | Tarkan |  | 
Yolla | Tarkan |  | 
Ateş Et ve Unut | Mustafa Sandal |  | 
Kara Kalp | Serdar Ortaç |  | 
Poşet | Serdar Ortaç |  | 
Ex Aşkım | Kenan Doğulu |  | 
Baş Harfi Benim | Kenan Doğulu |  | 
Bambaşka Biri | Ajda Pekkan |  | 
Ya Ya Ya Ya | Hande Yener |  | 
Naber | Hande Yener |  | 
Hasta | Hande Yener |  | 
Mesajımı Almıştır O | Hadise |  | 
Superman | Hadise |  | 
Prens | Hadise |  | 
Sıfır Tolerans | Hadise |  | 
Yatcaz Kalkcaz Ordayım | Gülşen |  | 
Bangır Bangır | Gülşen |  | 
Of... Of | Gülşen |  | 
Çalkala | Demet Akalın |  | 
Aşk | Demet Akalın |  | 
Nazar | Demet Akalın |  | 
Giderli | Demet Akalın |  | 
Sallana Sallana | Murat Boz |  | 
Hayat Öpücüğü | Murat Boz |  | 
Janti | Murat Boz |  | 
Kalamam Arkadaş | Murat Boz |  | 
Vaziyetler | Sıla |  | 
İnşallah | Sıla |  | 
Acısa da Öldürmez | Sıla |  | 
Yabancı | Sıla |  | 
Boş Yere | Sıla |  | 
Ah Be Kardeşim | Yalın |  | 
Anlat Güzel mi Oralar | Yalın |  | 
Keşke | Yalın |  | 
Senden Daha Güzel | Duman |  | 
Eyvallah | Duman |  | 
Sen Yağmursun | Gripin |  | 
Buzdan Şato | Model |  | 
Aşk Yok Olmaktır | Model |  | 
Sana Değer | Kolpa |  | 
Ne Güzel Güldün | Pinhani |  | 
We Could Be the Same | maNga |  | 
Yaparsın Aşkım | Nil Karaibrahimgil |  | 
Eksik | Mustafa Ceceli |  | 
Şarkı | Mustafa Ceceli |  | 
Gül Rengi | Mustafa Ceceli |  | 
Bak Bir Varmış Bir Yokmuş | Mustafa Ceceli |  | 
Sen Sevda mısın | Buray |  | 
İstersen | Buray |  | 
Mecburen | Buray |  | 
Kalbimin Tek Sahibine | İrem Derici |  | 
Zalim | İrem Derici |  | 
Adeyyo | Ece Seçkin |  | 
Cevapsız Çınlama | Aleyna Tilki |  | 
Sen Olsan Bari | Aleyna Tilki |  | 
Roman | Edis |  | 
Martılar | Edis |  | 
Fikrimden Geceleri | Mabel Matiz |  | 
Antidepresan | Mabel Matiz |  | 
Miş Miş | Simge |  | 
Yankı | Simge |  | 
Ela | Reynmen |  | 
Eteği Belinde | Manuş Baba |  | 
Dön Bebeğim | Manuş Baba |  | 
Beni Vur | Ziynet Sali |  | 
Padişah | Sibel Can |  | 
Güzelim | Ayşe Hatun Önal |  | 
Sen Yoluna Ben Yoluma | Gökhan Türkmen |  | 
Sen Gelmez Oldun | Bilal Sonses |  | 

# ---- 2020'LER ----
Geççek | Tarkan |  | 
Öyle Kolaysa | Mabel Matiz |  | 
Merhametim Yok | Melike Şahin |  | 
Nalan | Emir Can İğrek |  | 
Lolipop | Gülşen |  | 
Dinle | Aleyna Tilki |  | 
Sana Bir Şey Olmasın | Edis |  | 
Karakol | Mabel Matiz |  | 
Aslan Gibi | Melike Şahin |  | 
Sarhoş | Emir Can İğrek |  | 
Derdim Olsun | Reynmen |  | 
